Mod:Item:MetaData, Localized Name
nevermine:AchelosHelmet, Achelos Diving Helmet Helmet
nevermine:OceanusHelmet, Oceanus Diving Helmet
nevermine:PrimordialHelmet, Primordial Helmet
nevermine:PrimordialChestplate, Primordial Chestplate
nevermine:PrimordialLeggings, Primordial Leggings
nevermine:PrimordialBoots, Primordial Boots
nevermine:RosidianHelmet, Rosidian Helmet
nevermine:RosidianChestplate, Rosidian Chestplate
nevermine:RosidianLeggings, Rosidian Leggings
nevermine:RosidianBoots, Rosidian Boots
nevermine:LyonicHelmet, Lyonic Helmet
nevermine:LyonicChestplate, Lyonic Chestplate
nevermine:LyonicLeggings, Lyonic Leggings
nevermine:LyonicBoots, Lyonic Boots
nevermine:GhoulishHelmet, Ghoulish Helmet
nevermine:GhoulishChestplate, Ghoulish Chestplate
nevermine:GhoulishLeggings, Ghoulish Leggings
nevermine:GhoulishBoots, Ghoulish Boots
nevermine:SubterraneanHelmet, Subterranean Helmet
nevermine:SubterraneanChestplate, Subterranean Chestplate
nevermine:SubterraneanLeggings, Subterranean Leggings
nevermine:SubterraneanBoots, Subterranean Boots
nevermine:LunarHelmet, Lunar Helmet
nevermine:LunarChestplate, Lunar Chestplate
nevermine:LunarLeggings, Lunar Leggings
nevermine:LunarBoots, Lunar Boots
nevermine:BoreicHelmet, Boreic Helmet
nevermine:BoreicChestplate, Boreic Chestplate
nevermine:BoreicLeggings, Boreic Leggings
nevermine:BoreicBoots, Boreic Boots
nevermine:PurityHelmet, Purity Helmet
nevermine:PurityChestplate, Purity Chestplate
nevermine:PurityLeggings, Purity Leggings
nevermine:PurityBoots, Purity Boots
nevermine:BaronHelmet, Baron Helmet
nevermine:BaronChestplate, Baron Chestplate
nevermine:BaronLeggings, Baron Leggings
nevermine:BaronBoots, Baron Boots
nevermine:GhastlyHelmet, Ghastly Helmet
nevermine:GhastlyChestplate, Ghastly Chestplate
nevermine:GhastlyLeggings, Ghastly Leggings
nevermine:GhastlyBoots, Ghastly Boots
nevermine:PredatiousHelmet, Predatious Helmet
nevermine:PredatiousChestplate, Predatious Chestplate
nevermine:PredatiousLeggings, Predatious Leggings
nevermine:PredatiousBoots, Predatious Boots
nevermine:HydrangicHelmet, Hydrangic Helmet
nevermine:HydrangicChestplate, Hydrangic Chestplate
nevermine:HydrangicLeggings, Hydrangic Leggings
nevermine:HydrangicBoots, Hydrangic Boots
nevermine:PopShot, Pop Shot
nevermine:SlingShot, Sling Shot
nevermine:Lunarade, Lunarade
nevermine:SilverCoin, Silver Coin
nevermine:GoldCoin, Gold Coin
nevermine:CopperCoin, Copper Coin
nevermine:LunaverCoin, Lunaver Coin
nevermine:HazmatHelmet, Hazmat Helmet
nevermine:HazmatChestplate, Hazmat Chestplate
nevermine:HazmatLeggings, Hazmat Leggings
nevermine:HazmatBoots, Hazmat Boots
nevermine:WitherRune, Wither Rune
nevermine:WindRune, Wind Rune
nevermine:PoisonRune, Poison Rune
nevermine:StrikeRune, Strike Rune
nevermine:DistortionRune, Distortion Rune
nevermine:StormRune, Storm Rune
nevermine:KineticRune, Kinetic Rune
nevermine:LunarRune, Lunar Rune
nevermine:PowerRune, Power Rune
nevermine:EnergyRune, Energy Rune
nevermine:LifeRune, Life Rune
nevermine:WaterRune, Water Rune
nevermine:FireRune, Fire Rune
nevermine:Rune, Unpowered Rune
nevermine:Draco, Draco
nevermine:CoralClogger, Coral Clogger
nevermine:Baronator, Baronator
nevermine:DestructionRifle, Destruction Rifle
nevermine:DestructionShotgun, Destruction Shotgun
nevermine:PurityRifle, Purity Rifle
nevermine:PurityShotgun, Purity Shotgun
nevermine:HaunterRifle, Haunters Rifle
nevermine:IonRevolver, Ion Revolver
nevermine:FlowersFury, Flowers Fury
nevermine:Pulsator, Pulsator
nevermine:DischargeRifle, Discharge Rifle
nevermine:FlamingFury, Flaming Fury
nevermine:RockerRifle, Rocker Rifle
nevermine:IroRifle, Iro Rifle
nevermine:MechanicalAssaultRifle, Mechanical Assault Rifle
nevermine:LunarAssaultRifle, Lunar Assault Rifle
nevermine:Mechyro, Mechyro
nevermine:Dustometer, Dustometer
nevermine:VileVanquisher, Vile Vanquisher
nevermine:EchoGull, Echo Gull
nevermine:EmptySlab, Empty Slab
nevermine:EnderCarrierSlab, Ender Carrier Slab
nevermine:TrilliadSeeds, Trilliad Seeds
nevermine:RosidonSeeds, Rosidon Seeds
nevermine:LunalonSeeds, Lunalon Seeds
nevermine:FloracleSeeds, Floracle Seeds
nevermine:GoldicapSeeds, Goldicap Seeds
nevermine:LunacrikeSeeds, Lunacrike Seeds
nevermine:LunaglobeSeeds, Lunaglobe Seeds
nevermine:TrilliadLeaves, Trilliad Leaves
nevermine:Rosidons, Rosidons
nevermine:Lunalons, Lunalons
nevermine:FloracleSticks, Floracle Sticks
nevermine:Lunacrike, Lunacrike
nevermine:GoldicapPedals, Goldicap Petals
nevermine:LunaGlobe, Luna Globe
nevermine:GhoulCannon, Ghoul Cannon
nevermine:AquaCannon, Aqua Cannon
nevermine:FlowerCannon, Flower Cannon
nevermine:BoulderBomber, Boulder Bomber
nevermine:IroCannon, Iro Cannon
nevermine:HiveHowitzer, Hive Howitzer
nevermine:VoxCannon, Vox Cannon
nevermine:MechaCannon, Mecha Cannon
nevermine:EnergyCannon, Energy Cannon
nevermine:CoralCannon, Coral Cannon
nevermine:FungalCannon, Fungal Cannon
nevermine:JackFunger, Jack Funger
nevermine:RPGFloro, RPG Floro
nevermine:BulbCannon, Bulb Cannon
nevermine:GhastBlaster, Ghast Blaster
nevermine:BaronSSR, Baron SSR
nevermine:BayonetteSR, BayonetteSR
nevermine:BoltRifle, Bolt Rifle
nevermine:Duster, Duster
nevermine:Floro500, Floro500
nevermine:Ka500, Ka500
nevermine:RosidRifle, Rosid Rifle
nevermine:SludgeSniper, Sludge Sniper
nevermine:Terminator, Terminator
nevermine:Viper1, Viper-1
nevermine:HellHorn, Hell Horn
nevermine:GasBlaster, Gas Blaster
nevermine:MechaBlaster, Mecha Blaster
nevermine:LunaBlaster, Luna Blaster
nevermine:ApocoShower, Apoco Shower
nevermine:DeathRay, Death Ray
nevermine:DarkDestroyer, Dark Destroyer
nevermine:Flowercorne, Flowercorne
nevermine:GhoulGasser, Ghoul Gasser
nevermine:IroMiner, Iro Miner
nevermine:Reefer, Reefer
nevermine:BubbleHorn, Bubble Horn
nevermine:Atomizer, Atomizer
nevermine:PoisonPlunger, Poison Plunger
nevermine:IonBlaster, Ion Blaster
nevermine:AquaticStaff, Aquatic Staff
nevermine:BaronStaff, Baron Staff
nevermine:CelestialStaff, Celestial Staff
nevermine:DestructionStaff, Destruction Staff
nevermine:FireStaff, Fire Staff
nevermine:FormationStaff, Formation Staff
nevermine:FungalStaff, Fungal Staff
nevermine:GhoulStaff, Ghoul Staff
nevermine:HauntersStaff, Haunters Staff
nevermine:LunarStaff, Lunar Staff
nevermine:LyonicStaff, Lyonic Staff
nevermine:MechaStaff, Mecha Staff
nevermine:MeteorStaff, Meteor Staff
nevermine:MoonlightStaff, Moonlight Staff
nevermine:NatureStaff, Nature Staff
nevermine:NoxiousStaff, Noxious Staff
nevermine:PoisonStaff, Poison Staff
nevermine:PrimordialStaff, Primordial Staff
nevermine:ReefStaff, Reef Staff
nevermine:RosidianStaff, Rosidian Staff
nevermine:StrikerStaff, Striker Staff
nevermine:SunStaff, Sun Staff
nevermine:UnderworldStaff, Underworld Staff
nevermine:WaterStaff, Water Staff
nevermine:WindStaff, Wind Staff
nevermine:WizardsStaff, Wizards Staff
nevermine:WitherStaff, Wither Staff
nevermine:CoralArchergun, Coral Archergun
nevermine:SpectralArchergun, Spectral Archergun
nevermine:RosidianArchergun, Rosidian Archergun
nevermine:MechaArchergun, Mecha Archergun
nevermine:ViralArchergun, Viral Archergun
nevermine:SkeletalArchergun, Skeletal Archergun
nevermine:LunarArchergun, Lunar Archergun
nevermine:ShroomusSword, Shroomus Sword
nevermine:HarvesterSword, Harvester Sword
nevermine:RunicSword, Runic Sword
nevermine:BaronSword, Baron Sword
nevermine:ExplochronSword, Explochron Sword
nevermine:CoralstormSword, Coralstorm Sword
nevermine:RosidianSword, Rosidian Sword
nevermine:BaronBow, Baron Bow
nevermine:BoreicBow, Boreic Bow
nevermine:DaybreakerBow, Daybreaker Bow
nevermine:DeepBow, Deep Bow
nevermine:LunarBow, Lunar Bow
nevermine:HauntedBow, Haunted Bow
nevermine:MechaBow, Mecha Bow
nevermine:PrimordialBow, Primordial Bow
nevermine:RosidianBow, Rosidian Bow
nevermine:PredatiousBow, Predatious Bow
nevermine:SpectralBow, Spectral Bow
nevermine:ToxinBow, Toxin Bow
nevermine:Abyssro, Abyssro
nevermine:ApocoRifle, Apoco Rifle
nevermine:ApocoAssaultRifle, Apoco Assault Rifle
nevermine:FloroRifle, Floro Rifle
nevermine:CoralGreatblade, Coral Greatblade
nevermine:BaronGreatblade, Baron Greatblade
nevermine:LunarGreatblade, Lunar Greatblade
nevermine:HauntedGreatblade, Haunted Greatblade
nevermine:LyonicGreatblade, Lyonic Greatblade
nevermine:NoxiousGreatblade, Noxious Greatblade
nevermine:PrimordialGreatblade, Primordial Greatblade
nevermine:RosidianGreatblade, Rosidian Greatblade
nevermine:RunicGreatblade, Runic Greatblade
nevermine:SubterraneanGreatblade, Subterranean Greatblade
nevermine:TidalGreatblade, Tidal Greatblade
nevermine:UnderworldGreatblade, Underworld Greatblade
nevermine:TotemWizardStaff, Wizard Staff Totem
nevermine:TotemViralArchergun, Viral Archergun Totem
nevermine:TotemViper1, Viper-1 Totem
nevermine:TotemTerminator, Terminator Totem
nevermine:TotemTidalGreatblade, Tidal Greatblade Totem
nevermine:TotemRosidianArchergun, Rosidian Archergun Totem
nevermine:TotemPulsator, Pulsator Totem
nevermine:TotemPredatiousBow, Predatious Bow Totem
nevermine:TotemNoxiousGreatblade, Noxious Greatblade Totem
nevermine:TotemMechaBlaster, Mecha Blaster Totem
nevermine:TotemLunaBlaster, Luna Blaster Totem
nevermine:TotemHauntersRifle, Haunters Rifle Totem
nevermine:TotemFormationStaff, Formation Staff Totem
nevermine:TotemFlowercorne, Flowercorne Totem
nevermine:TotemFlamingFury, Flaming Fury Totem
nevermine:TotemExplochronSword, Explochron Sword Totem
nevermine:TotemDaybreaker, Daybreaker Totem
nevermine:TotemBayonetteSR, BayonetteSR Totem
nevermine:TotemBaronSSR, Baron SSR Totem
nevermine:TotemBaronStaff, Baron Staff Totem
nevermine:TotemAquaticStaff, Aquatic Staff Totem
nevermine:DustopiaGems, Dustopia Gems
nevermine:LboreanGems, L'borean Gems
nevermine:DeeplandsGems, Deeplands Gems
nevermine:MysteriumGems, Mysterium Gems
nevermine:GreckonGems, Greckon Gems
nevermine:BarathosGems, Barathos Gems
nevermine:RunandorGems, Runandor Gems
nevermine:VoxPondsGems, Vox Ponds Gems
nevermine:GardenciaGems, Gardencia Gems
nevermine:IromineGems, Iromine Gems
nevermine:LunalusGems, Lunalus Gems
nevermine:CoralCloggerWaterlogged, Coral Clogger (Waterlogged)
nevermine:ReeferWaterlogged, Reefer (Waterlogged)
nevermine:CoralArchergunWaterlogged, Coral Archergun (Waterlogged)
nevermine:AquaCannonWaterlogged, Aqua Cannon (Waterlogged)
nevermine:CoralCannonWaterlogged, Coral Cannon (Waterlogged)
nevermine:GemBag, Gem Bag
nevermine:PrimordialDust, Primordial Dust
nevermine:PrimordialSkull, Primordial Skull
nevermine:DimensionTicket, Realm Travel Ticket
nevermine:MechaGear, Mecha Gear
nevermine:IngotLyon, Lyon Ingot
nevermine:IngotVarsium, Varsium Ingot
nevermine:IngotElecanium, Elecanium Ingot
nevermine:IngotBaronyte, Baronyte Ingot
nevermine:IngotBlazium, Blazium Ingot
nevermine:IngotGhastly, Ghastly Ingot
nevermine:IngotGhoulish, Ghoulish Ingot
nevermine:MechanicalAssaultRifleIncomplete, Incomplete Mechanical Assault Rifle
nevermine:MechaBowIncomplete, Incomplete Mecha Bow
nevermine:MechaArchergunIncomplete, Incomplete Mecha Archergun
nevermine:MechyroIncomplete, Incomplete Mechyro
nevermine:MechaCannonIncomplete, Incomplete Mecha Cannon
nevermine:MechaStaffIncomplete, Incomplete Mecha Staff
nevermine:RockBones, Rock Bones
nevermine:CallOfTheDrake, Call Of The Drake
nevermine:ObservingEye, Observing Eye
nevermine:HiveChunk, Hive Chunk
nevermine:CoinSilvro, Silvro Coin
nevermine:ShroomStone, Shroom Stone
nevermine:BoulderDash, Boulder Dash
nevermine:PedalPile, Petal Pile
nevermine:SmallPedalPurple, Small Purple Petal
nevermine:SmallPedalBlue, Small Blue Petal
nevermine:SmallPedalGreen, Small Green Petal
nevermine:SmallPedalRed, Small Red Petal
nevermine:SmallPedalOrange, Small Orange Petal
nevermine:HauntedIdol, Haunted Idol
nevermine:Ghoulasm, Ghoulasm
nevermine:VileStone, Vile Stone
nevermine:UnchargedStone, Uncharged Stone
nevermine:PureCoralStone, Pure Coral Stone
nevermine:PureRainStone, Pure Rain Stone
nevermine:PureWaterStone, Pure Water Stone
nevermine:DoomStone, Doom Stone
nevermine:ToxicLump, Toxic Lump
nevermine:SludgeParasite, Sludge Parasite
nevermine:UpgradeKitApoco, Apoco Upgrade Kit
nevermine:UpgradeKitAbyssal, Abyssal Upgrade Kit
nevermine:UpgradeKitFloro, Floro Upgade Kit
nevermine:HiveStaff, Hive Staff
nevermine:AlluricornSlab, Alluricorn Slab
nevermine:CompeerSlab, Compeer Slab
nevermine:CorbySlab, Corby Slab
nevermine:GnawerSlab, Gnawer Slab
nevermine:HellquinSlab, Hellquin Slab
nevermine:HealingGolemSlab, Healing Golem Slab
nevermine:HorntailSlab, Horntail Slab
nevermine:MechaCyclopsSlab, Mecha Cyclops Slab
nevermine:MechaSkelloxSlab, Mecha Skellox Slab
nevermine:PenguinSlab, Penguin Slab
nevermine:PlateosaurSlab, Plateosaur Slab
nevermine:RammerhornSlab, Rammerhorn Slab
nevermine:SpikebackSlab, Spikeback Slab
nevermine:MegaRuneStone, Mega Rune Stone
nevermine:UnchargedOrb, Uncharged Orb
nevermine:IngotLunar, Lunar Ingot
nevermine:GhoulasmPrimed, Primed Ghoulasm
nevermine:FirestormStaff, Firestorm Staff
nevermine:RuniumChunk, Runium Chunk
nevermine:RuniumChunkCharged, Charged Runium Chunk
nevermine:RuneCharged, Charged Rune
nevermine:RunicEnergy, Runic Energy
nevermine:MegaRuneFragmentB, Mega Rune Fragment
nevermine:MegaRuneFragmentY, Mega Rune Fragment
nevermine:MegaRuneFragmentR, Mega Rune Fragment
nevermine:MegaRuneFragmentG, Mega Rune Fragment
nevermine:ApocoStone, Apoco Stone
nevermine:DarklyPowder, Darkly Powder
nevermine:HydroStone, Hydro Stone
nevermine:HydroplateBoots, Hydroplate Boots
nevermine:HydroplateChestplate, Hydroplate Chestplate
nevermine:HydroplateLeggings, Hydroplate Leggings
nevermine:HydroplateHelmet, Hydroplate Helmet
nevermine:ShinyBox, Shiny Box
nevermine:RunandorBlueprint, Portal Structure Blueprint
nevermine:ElecanyteBoots, Elecanyte Boots
nevermine:ElecanyteChestplate, Elecanyte Chestplate
nevermine:ElecanyteLeggings, Elecanyte Leggings
nevermine:ElecanyteHelmet, Elecanyte Helmet
nevermine:SharpshotBoots, Sharpshot Boots
nevermine:SharpshotChestplate, Sharpshot Chestplate
nevermine:SharpshotLeggings, Sharpshot Leggings
nevermine:SharpshotHelmet, Sharpshot Helmet
nevermine:RockboneBoots, Rockbone Boots
nevermine:RockboneChestplate, Rockbone Chestplate
nevermine:RockboneLeggings, Rockbone Leggings
nevermine:RockboneHelmet, Rockbone Helmet
nevermine:MarkMaker, Mark Maker
nevermine:RealmstoneAbyss, Abyss Realmstone
nevermine:RealmstoneHaven, Haven Realmstone
nevermine:RealmstonePrecasia, Precasia Realmstone
nevermine:RealmstoneMysterium, Mysterium Realmstone
nevermine:RealmstoneIromine, Iromine Realmstone
nevermine:RealmstoneDeeplands, Deeplands Realmstone
nevermine:RealmstoneGardencia, Gardencia Realmstone
nevermine:RealmstoneBorean, L'Borean Realmstone
nevermine:RealmstoneBarathos, Barathos Realmstone
nevermine:RealmstoneVoxPonds, Vox Ponds Realmstone
nevermine:RealmstoneLelyetia, Lelyetia Realmstone
nevermine:RealmstoneDustopia, Dustopia Realmstone
nevermine:AncientTeleporterBlueprint, Ancient Teleporter Blueprint
nevermine:EssenceDivine, Divine Essence
nevermine:EssenceAncient, Ancient Essence
nevermine:EssenceDark, Dark Essence 
nevermine:EssenceCharged, Charged Essence
nevermine:EssenceEmpowered, Empowered Essence
nevermine:EssenceEthereal, Ethereal Essence
nevermine:EssenceLuminate, Luminate Essence
nevermine:EssenceMolten, Molten Essence
nevermine:EssenceWeak, Weak Essence
nevermine:EssenceOminous, Ominous Essence
nevermine:iStoneBlooming, Blooming Infusion Stone
nevermine:iStoneGlaring, Glaring Infusion Stone
nevermine:iStoneGleaming, Gleaming Infusion Stone
nevermine:iStoneGlistening, Glistening Infusion Stone
nevermine:iStoneGlowing, Glowing Infusion Stone
nevermine:iStoneRadiant, Radiant Infusion Stone
nevermine:iStoneShining, Shining Infusion Stone
nevermine:StoneBowl, Stone Bowl
nevermine:AuguryBoots, Augury Boots
nevermine:AuguryChestplate, Augury Chestplate
nevermine:AuguryLeggings, Augury Leggings
nevermine:AuguryHelmet, Augury Helmet
nevermine:CreationBoots, Creation Boots
nevermine:CreationChestplate, Creation Chestplate
nevermine:CreationLeggings, Creation Leggings
nevermine:CreationHelmet, Creation Helmet
nevermine:HunterBoots, Hunter Boots
nevermine:HunterChestplate, Hunter Chestplate
nevermine:HunterLeggings, Hunter Leggings
nevermine:HunterHelmet, Hunter Helmet
nevermine:InfusionBoots, Infusion Boots
nevermine:InfusionChestplate, Infusion Chestplate
nevermine:InfusionLeggings, Infusion Leggings
nevermine:InfusionHelmet, Infusion Helmet
nevermine:ForagingBoots, Foraging Boots
nevermine:ForagingChestplate, Foraging Chestplate
nevermine:ForagingLeggings, Foraging Leggings
nevermine:ForagingHelmet, Foraging Helmet
nevermine:ExoplateBoots, Exoplate Boots
nevermine:ExoplateChestplate, Exoplate Chestplate
nevermine:ExoplateLeggings, Exoplate Leggings
nevermine:ExoplateHelmet, Exoplate Helmet
nevermine:ThermalBoots, Battleborn Boots
nevermine:ThermalChestplate, Battleborn Chestplate
nevermine:ThermalLeggings, Battleborn Leggings
nevermine:ThermalHelmet, Battleborn Helmet
nevermine:FaceMask, Face Mask
nevermine:NightVisionGoggles, Night Vision Goggles
nevermine:SkydriverBow, Skydriver Bow
nevermine:LelyetianGreatblade, Lelyetian Greatblade
nevermine:RoyalGreatblade, Royal Greatblade
nevermine:ErebonScythe, Erebon Scythe
nevermine:SelyanScythe, Selyan Scythe
nevermine:PlutonScythe, Pluton Scythe
nevermine:LuxonScythe, Luxon Scythe
nevermine:PyroArchergun, Pyro Archergun
nevermine:AtlanticBow, Atlantic Bow
nevermine:Wrecker, Wrecker
nevermine:CoreRifle, Core Rifle
nevermine:GaugeRifle, Gauge Rifle
nevermine:Stampede, Stampede
nevermine:Cyclone, Cyclone
nevermine:Artifact, Artifact
nevermine:Megagun, Megagun
nevermine:Roulette, Roulette
nevermine:Stormer, Stormer
nevermine:Overshot, Overshot
nevermine:CamoRifle, Camo Rifle
nevermine:HeadHunter, Head Hunter
nevermine:Monster, Monster
nevermine:Decimator, Decimator
nevermine:PulseCannon, Pulse Cannon
nevermine:ChiliChugger, Chili Chugger
nevermine:CarrotCannon, Carrot Cannon
nevermine:Gardener, Gardener
nevermine:DischargeSniper, Discharge Sniper
nevermine:VortexBlaster, Vortex Blaster
nevermine:Swarmotron, Swarm-O-Tron
nevermine:RunePouch, Rune Pouch
nevermine:PowerStaff, Power Staff
nevermine:FireflyStaff, Firefly Staff
nevermine:MoonDestroyer, Moon Destroyer
nevermine:MoonCannon, Moon Cannon
nevermine:MoonMaker, Moon Maker
nevermine:GolderBomber, Golder Bomber
nevermine:GoldenFury, Golden Fury
nevermine:GoldBringer, Gold Bringer
nevermine:LightIron, Light Iron
nevermine:LightSpark, Light Spark
nevermine:LightBlaster, Light Blaster
nevermine:PredatorianBlaster, Predatorian Blaster
nevermine:Predator, Predator
nevermine:Predigun, Predigun
nevermine:ChiliPepper, Chili Pepper
nevermine:CoinsLelyetia, Lelyetia Gems
nevermine:DarkBones, Dark Bones
nevermine:FleshyBones, Fleshy Bones
nevermine:Cup, Cup
nevermine:TeaShreddings, Tea Shreddings
nevermine:ZhinxDust, Zhinx Dust
nevermine:GuardiansEye, Guardian's Eye
nevermine:TeaSeeds, Tea Seeds
nevermine:ChiliSeeds, Chili Seeds
nevermine:TotemRoyalGreatblade, Royal Greatblade Totem
nevermine:TotemSwarmotron, Swarm-O-Tron Totem
nevermine:Tea, Tea
nevermine:FungalTea, Fungal Tea
nevermine:Gravitator, Gravitator
nevermine:AtlanticStaff, Atlantic Staff
nevermine:pStoneBlooming, Blooming Power Stone
nevermine:pStoneGlaring, Glaring Power Stone
nevermine:pStoneGleaming, Gleaming Power Stone
nevermine:pStoneGlistening, Glistening Power Stone
nevermine:pStoneGlowing, Glowing Power Stone
nevermine:pStoneRadiant, Radiant Power Stone
nevermine:pStoneShining, Shining Power Stone
nevermine:WeaponParts, Weapon Parts
nevermine:UpgradeKitLunar, Lunar Upgrade Kit
nevermine:UpgradeKitPredator, Predator Upgrade Kit
nevermine:UpgradeKitLight, Light Upgrade Kit
nevermine:UpgradeKitGolden, Golden Upgrade Kit
nevermine:RunationBoots, Runation Boots
nevermine:RunationChestplate, Runation Chestplate
nevermine:RunationLeggings, Runation Leggings
nevermine:RunationHelmet, Runation Helmet
nevermine:RealmstoneAncientCavern, Ancient Cavern Realmstone
nevermine:LuxonStickler, Luxon Stickler
nevermine:ErebonStickler, Erebon Stickler
nevermine:PlutonStickler, Pluton Stickler
nevermine:SelyanStickler, Selyan Stickler
nevermine:BombLauncher, Bomb Launcher
nevermine:BlastCannon, Blast Cannon
nevermine:Proton, Proton
nevermine:LaserBlaster, Laser Blaster
nevermine:SpraggySlab, Spraggy Slab
nevermine:CraggySlab, Craggy Slab
nevermine:DraggySlab, Draggy Slab
nevermine:ShaddySlab, Shaddy Slab
nevermine:WaggySlab, Waggy Slab
nevermine:BlissardSlab, Blissard Slab
nevermine:HeartStone, Heart Stone
nevermine:NaturalTea, Natural Tea
nevermine:FurlionChopRaw, Raw Furlion Chop
nevermine:FurlionChop, Furlion Chop
nevermine:NatureMelonSlice, Nature Melon Slice
nevermine:HotRod, Hot Rod
nevermine:Balloon, Balloon
nevermine:BlissfulBlast, Blissful Blast
nevermine:SmileBlaster, Smile Blaster
nevermine:HappyHaunter, Happy Haunter
nevermine:PartyPopper, Party Popper
nevermine:WhimsyWinder, Whimsy Winder
nevermine:Spectacle, Spectacle
nevermine:Gimmick, Gimmick
nevermine:BigTop, Big Top
nevermine:BozoBlaster, Bozo Blaster
nevermine:ClownCannon, Clown Cannon
nevermine:ConfettiCluster, Confetti Cluster
nevermine:BalloonBomber, Balloon Bomber
nevermine:ClownCracker, Clown Cracker
nevermine:GoofyGreatblade, Goofy Greatblade
nevermine:ShowStaff, Show Staff
nevermine:JokerStaff, Joker Staff
nevermine:TabletHealth, Tablet Of Health
nevermine:TabletEnergy, Tablet Of Energy
nevermine:TabletVitality, Tablet Of Rage
nevermine:TabletCreation, Tablet Of Creation
nevermine:TabletHunger, Tablet Of Hunger
nevermine:TabletPeace, Tablet Of Peace
nevermine:TabletDebuff, Tablet Of Debuffing
nevermine:TabletAirhop, Tablet Of Airhopping
nevermine:TabletDivine, Tablet Of Divine Intervention
nevermine:InnervationHelmet, Innervation Helmet
nevermine:InnervationChestplate, Innervation Chestplate
nevermine:InnervationLeggings, Innervation Leggings
nevermine:InnervationBoots, Innervation Boots
nevermine:VitalityHelmet, Extraction Helmet
nevermine:VitalityChestplate, Extraction Chestplate
nevermine:VitalityLeggings, Extraction Leggings
nevermine:VitalityBoots, Extraction Boots
nevermine:AnimaHelmet, Anima Helmet
nevermine:AnimaChestplate, Anima Chestplate
nevermine:AnimaLeggings, Anima Leggings
nevermine:AnimaBoots, Anima Boots
nevermine:RealmstoneCeleve, Celeve Realmstone
nevermine:AnimaStone, Anima Stone
nevermine:UpgradeKitSmiley, Smiley Upgrade Kit
nevermine:ToyGyrocopter, Toy Gyrocopter
nevermine:CoinCircus, Circus Coin
nevermine:CoinsCeleve, Celeve Gems
nevermine:CompassRune, Compass Rune
nevermine:TotemGoofyGreatblade, Goofy Greatblade Totem
nevermine:TotemWhimsyWinder, Whimsy Winder Totem
nevermine:Ultraflame, Ultraflame
nevermine:VoidSword, Void Sword
nevermine:DiamondBowl, Diamond Bowl
nevermine:Grandsword, Grandsword
nevermine:FieryChops, Fiery Chops
nevermine:CrystalGreatblade, Crystal Greatblade
nevermine:Crystaneer, Crystaneer
nevermine:CrystalMaul, Crystal Maul
nevermine:CrystonStaff, Cryston Staff
nevermine:CrystalStaff, Crystal Staff
nevermine:CrystikStaff, Crystik Staff
nevermine:Construct, Construct
nevermine:CrystalCarver, Crystal Carver
nevermine:BlastBarrel, Blast Barrel
nevermine:GemstonesWhite, White Gemstones
nevermine:GemstonesGreen, Green Gemstones
nevermine:GemstonesPurple, Purple Gemstones
nevermine:GemstonesYellow, Yellow Gemstones
nevermine:GemstonesBlue, Blue Gemstones
nevermine:GemstonesRed, Red Gemstones
nevermine:CrystalsWhite, White Crystals
nevermine:CrystalsGreen, Green Crystals
nevermine:CrystalsPurple, Purple Crystals
nevermine:CrystalsYellow, Yellow Crystals
nevermine:CrystalsBlue, Blue Crystals
nevermine:CrystalsRed, Red Crystals
nevermine:RealmstoneCrystevia, Crystevia Realmstone
nevermine:CoinsCrystevia, Crystevia Gems
nevermine:TotemCrystaneer, Crystaneer Totem
nevermine:TotemCrystalMaul, Crystal Maul Totem
nevermine:GiantCrystal, Giant Crystal
nevermine:CrystallisHelmet, Crystallis Helmet
nevermine:CrystallisChestplate, Crystallis Chestplate
nevermine:CrystallisLeggings, Crystallis Leggings
nevermine:CrystallisBoots, Crystallis Boots
nevermine:ConstructServilitySlab, Construct of Servility Slab
nevermine:GooferSlab, Goofer Slab
nevermine:Orbocron, Orbocron
nevermine:ShroomicGreatblade, Shroomic Greatblade
nevermine:iStoneAmbient, Ambient Infusion Stone
nevermine:pStoneAmbient, Ambient Power Stone
nevermine:GhostStone, Ghostly Stone
nevermine:MetalTub, Metal Tub
nevermine:MagicMendingCompound, Magic Mending Compound
nevermine:MagicMendingSolution, Magic Mending Solution
nevermine:HalyconBeef, Halycon Beef
nevermine:HalyconBeefRaw, Halycon Beef Raw
nevermine:HellFire, Hell Fire
nevermine:Vulkram, Vulkram
nevermine:Chakram, Chakram
nevermine:GooBall, Goo Ball
nevermine:SliceStar, Slice Star
nevermine:HeartFruit, Heart Fruit
nevermine:BubbleBerries, Bubble Berries
nevermine:ThornyPetals, Thorny Petals
nevermine:MagicMarang, Magic Marang
nevermine:HeartFruitSeeds, Heart Fruit Seeds
nevermine:BubbleBerrySeeds, Bubble Berry Seeds
nevermine:MagicMarangSeeds, Magic Marang Seeds
nevermine:ThornyPlantSeeds, Thorn Plant Seeds
nevermine:IngotRustedIron, Rusted Iron Ingot
nevermine:FragmentedAnimaStone, Fragmented Anima Stone
nevermine:CandyStaff, Candy Staff
nevermine:SweetTooth, Sweet Tooth
nevermine:MintMagnum, Mint Magnum
nevermine:GingerBlaster, Ginger Blaster
nevermine:Froster, Froster
nevermine:CaramelCarver, Caramel Carver
nevermine:SweetSword, Sweet Sword
nevermine:CandyBlade, Candy Blade
nevermine:CottonCrusher, Cotton Crusher
nevermine:FungalHelmet, Fungal Helmet
